Barcode;Sample;slope;se;E;interc;R2
ITS-2;ASW;-4.337714;0.346573;0.7003416;-3.924145;0.9511154
ITS-2;CAL;-6.993176;0.7145621;0.3899416;20.891582;0.9221629
ITS-2;CAT;-3.528497;0.2192475;0.9204667;2.698296;0.9699255
ITS-2;CTL;-4.643935;0.6662678;0.6418543;-3.304429;0.7367684
ITS-2;GOL;-3.980282;1.9129216;0.7833577;29.725909;0.2938761
ITS-2;INS;-4.375835;0.3851617;0.6924966;-5.300999;0.9412081
ITS-2;LABIA;-4.697365;0.4378684;0.6326208;-5.120042;0.9344723
ITS-2;LABRA;-3.895662;0.5224059;0.8059086;-1.479182;0.8722232
ITS-2;LEP;-3.984135;0.446865;0.7823604;-3.931197;0.9075043
ITS-2;LON;-19.063333;3.7700634;0.1283835;-7.281365;0.891179
ITS-2;NAS;-4.357935;0.4692128;0.6961587;-5.319491;0.9142206
ITS-2;PAT;-3.450563;0.5546665;0.9489816;1.904501;0.8249471
ITS-2;RAD;-4.00673;0.9015206;0.7765608;-1.826374;0.728185
COX-1;ASW;-3.488178387;0.12786336;0.9350072;15.62761;0.98935075
COX-1;CAL;-3.64076985;0.07812517;0.8822061;14.40552;0.99632813
COX-1;CAT;-3.640252029;0.13501649;0.8823755;15.17552;0.9890997
COX-1;CTL;-3.476305619;0.13483946;0.9393746;12.24738;0.97502437
COX-1;GOL;0.003599521;0.39810432;-1;33.08657;-0.06249457
COX-1;INS;-3.425790134;0.11992956;0.9584093;15.35511;0.990279
COX-1;LABIA;-3.533667367;0.128493;0.9186339;15.92727;0.98951915
COX-1;LABRA;-3.484526974;0.11027312;0.9363462;14.46762;0.99204376
COX-1;LEP;-3.472832578;0.0661969;0.9406597;14.23812;0.99710069
COX-1;LON;-0.978104936;0.88101755;9.5289531;26.65071;0.0282467
COX-1;NAS;-3.434707683;0.11185894;0.9549947;15.56943;0.99157753
COX-1;PAT;-3.328318692;0.13354768;0.99734;15.90743;0.98726363
COX-1;RAD;-3.240470359;0.15835685;1.0351535;15.49589;0.9812091
