	input	filtered	denoised	merged	non-chimeric
ITSEggs-646_TGTAAA-JRDRM_L001_R1.fastq.gz	19738	8467	8462	6840	3583
ITSEggs-710_ATTAGG-JRDRM_L001_R1.fastq.gz	42508	15739	15734	14267	10558
ITSEggs-717_AAAGTA-JRDRM_L001_R1.fastq.gz	16046	6105	6100	5541	4327
ITSEggs-720_AACGTC-JRDRM_L001_R1.fastq.gz	52061	20426	20412	18740	13159
ITSEggs-726_CGTTAA-JRDRM_L001_R1.fastq.gz	28628	7968	7951	5519	4753
ITSEggs-729_AGAATC-JRDRM_L001_R1.fastq.gz	17133	7734	7731	6814	4871
ITSEggs-733_GTTCTT-JRDRM_L001_R1.fastq.gz	53291	16548	16543	13612	6029
ITSEggs-734_AAGGCC-JRDRM_L001_R1.fastq.gz	14706	5379	5379	4931	3024
ITSEggs-748_ACTGCG-JRDRM_L001_R1.fastq.gz	33566	12773	12763	11913	9169
ITSEggs-755_CGTTTC-JRDRM_L001_R1.fastq.gz	16046	5386	5384	4924	2811
ITSH2O_CACTAA-JRDRM_L001_R1.fastq.gz	9	2	2	2	2
ITSJ0-683_ACTCGA-JRDRM_L001_R1.fastq.gz	18302	6427	6420	5208	2592
ITSJ0-725_GTTCGC-JRDRM_L001_R1.fastq.gz	20359	11766	11764	10938	8058
ITSJ0-729_CTCTCG-JRDRM_L001_R1.fastq.gz	19070	9195	9191	8133	5288
ITSJ0-733_CCTTGA-JRDRM_L001_R1.fastq.gz	17057	7099	7098	6671	5654
ITSJ0-734_ACATAT-JRDRM_L001_R1.fastq.gz	33597	11737	11730	10917	6402
ITSJ0-735_GGTAGC-JRDRM_L001_R1.fastq.gz	86241	57480	57358	53669	43795
ITSJ0-739_TGCTGA-JRDRM_L001_R1.fastq.gz	23983	11489	11476	10614	8041
ITSJ0-742_TCCCCA-JRDRM_L001_R1.fastq.gz	16941	4862	4861	4248	1977
ITSJ0-743_TATGCG-JRDRM_L001_R1.fastq.gz	45787	16140	16128	15176	9433
ITSJ0-744_CCATTG-JRDRM_L001_R1.fastq.gz	18549	7019	7018	6111	3415
ITSJ0-745_TGGTAG-JRDRM_L001_R1.fastq.gz	16114	5858	5851	5169	2714
ITSJ0-746_TCGTTC-JRDRM_L001_R1.fastq.gz	26529	16447	16425	14072	10458
ITSJ0-747_CGGGAG-JRDRM_L001_R1.fastq.gz	5	2	2	0	0
ITSJ0-748_CCTCTT-JRDRM_L001_R1.fastq.gz	29446	11562	11550	11001	9533
ITSJ0-749_GAGATA-JRDRM_L001_R1.fastq.gz	20503	8149	8139	7791	6300
ITSJ0-750_GTTTCT-JRDRM_L001_R1.fastq.gz	19105	6927	6924	6616	4855
ITSJ0-752_CTTGCA-JRDRM_L001_R1.fastq.gz	53075	22427	22261	19085	11185
ITSJ0-753_CTAGAG-JRDRM_L001_R1.fastq.gz	43967	16784	16763	15026	9926
ITSJ0-754_ACACGC-JRDRM_L001_R1.fastq.gz	17581	7032	7031	6299	3890
ITSJ0-755_AGTTTG-JRDRM_L001_R1.fastq.gz	12320	4292	4283	3856	2277
ITSJ28-725_AATTGC-JRDRM_L001_R1.fastq.gz	2	0	0	0	0
ITSJ28-729_AGCGAC-JRDRM_L001_R1.fastq.gz	21298	11111	11107	9746	5820
ITSJ28-733_AGAGGG-JRDRM_L001_R1.fastq.gz	12519	3812	3812	3224	1289
ITSJ28-734_GTCGTG-JRDRM_L001_R1.fastq.gz	57433	21054	21033	18957	10291
ITSJ28-735_TCTCGG-JRDRM_L001_R1.fastq.gz	2	0	0	0	0
ITSJ28-739_GCTATC-JRDRM_L001_R1.fastq.gz	9	1	1	1	1
ITSJ28-742_CAGTCT-JRDRM_L001_R1.fastq.gz	16593	6434	6434	6080	4891
ITSJ28-743_ATACTG-JRDRM_L001_R1.fastq.gz	17715	6576	6551	5857	3315
ITSJ28-745_TGCGGG-JRDRM_L001_R1.fastq.gz	19104	8578	8575	7805	5375
ITSJ28-748_AACGCA-JRDRM_L001_R1.fastq.gz	19852	8320	8320	7556	5568
ITSJ28-749_ACTACT-JRDRM_L001_R1.fastq.gz	18495	7133	7122	6591	4244
ITSJ28-750_ATGAAC-JRDRM_L001_R1.fastq.gz	61467	21470	21460	20014	11007
ITSJ28-753_ACCGTG-JRDRM_L001_R1.fastq.gz	18882	8493	8491	8181	6688
ITSJ28-755_TTGCCC-JRDRM_L001_R1.fastq.gz	14809	4665	4661	4222	2292
ITSJ35-729_CAACAG-JRDRM_L001_R1.fastq.gz	76387	37199	37092	33037	21945
